,STATE NAME,2020 PCT URBAN POP,2020 PCT RURAL POP
0,Alabama,57.7,42.3
1,Alaska,64.9,35.1
2,Arizona,89.3,10.7
3,Arkansas,55.5,44.5
4,California,94.2,5.8
5,Colorado,86.0,14.0
6,Connecticut,86.3,13.7
7,Delaware,82.6,17.4
8,District of Columbia,100.0,0.0
9,Florida,91.5,8.5
10,Georgia,74.1,25.9
11,Hawaii,86.1,13.9
12,Idaho,69.2,30.8
13,Illinois,86.9,13.1
14,Indiana,71.2,28.8
15,Iowa,63.2,36.8
16,Kansas,72.3,27.7
17,Kentucky,58.7,41.3
18,Louisiana,71.5,28.5
19,Maine,38.6,61.4
20,Maryland,85.6,14.4
21,Massachusetts,91.3,8.7
22,Michigan,73.5,26.5
23,Minnesota,71.9,28.1
24,Mississippi,46.3,53.7
25,Missouri,69.5,30.5
26,Montana,53.4,46.6
27,Nebraska,73.0,27.0
28,Nevada,94.1,5.9
29,New Hampshire,58.3,41.7
30,New Jersey,93.8,6.2
31,New Mexico,74.5,25.5
32,New York,87.4,12.6
33,North Carolina,66.7,33.3
34,North Dakota,61.0,39.0
35,Ohio,76.3,23.7
36,Oklahoma,64.6,35.4
37,Oregon,80.5,19.5
38,Pennsylvania,76.5,23.5
39,Rhode Island,91.1,8.9
40,South Carolina,67.9,32.1
41,South Dakota,57.2,42.8
42,Tennessee,66.2,33.8
43,Texas,83.7,16.3
44,Utah,89.8,10.2
45,Vermont,35.1,64.9
46,Virginia,75.6,24.4
47,Washington,83.4,16.6
48,West Virginia,44.6,55.4
49,Wisconsin,67.1,32.9
50,Wyoming,62.0,38.0
51,American Samoa,75.7,24.3
52,Guam,89.0,11.0
53,Commonwealth of the Northern Marianas,78.0,22.0
54,Puerto Rico,91.9,8.1
55,US Virgin Islands,95.1,4.9
